original	corrected	confidence
Zim	Zeam	high
Zoom	Zeam	high
Zeeam	Zeam	high
Xem	Zeam	high
Zem	Zeam	high
Reem	Ream	high
Clean	Qlean	medium
Kulin	Qlean	medium
NLEAN	Qlean	medium
Gene	Gean	high
Guin	Gean	high
East Lambda	Ethlambda	high
ETHLambda	Ethlambda	high
Grandin	Grandine	high
Grandine	Grandine	high
LeanSpec	LeanSpec	high
LinVM	LeanVM	low
SIL P2B	SIL P2P	high
SSE	SSZ	high
post-ADON	Poseidon	medium
formovification	formal verification	medium
Devonnet	devnet	high
Definite 5	devnet 5	medium
Devlin 5	devnet 5	high
DevN4	devnet 4	high
defnet	devnet	high
defNet	devnet	high
HCC	ACD	low
