original	corrected	confidence
Prism	Prysm	high
JavNet	devnet	medium
PRISM	Prysm	high
DevsNet	devnet	medium
DevNAT	devnet	high
Bosul	Bosul	low
EIP8070	SIP-8070	medium
Detonate	devnet	high
DevNetGo	devnet	medium
DemNet	devnet	high
Haugota	Hegota	high
Haugotta	Hegota	high
fossil	FOCIL	high
Forshtall	FOCIL	high
Fossil	FOCIL	high
falsehood	FOCIL	medium
Sol	FOCIL	medium
bed columns	blob columns	medium
pure DAS	SilaPeerDAS	medium
peer DAS	SilaPeerDAS	medium
PR DAS	SilaPeerDAS	high
Rotas	RowDAS	medium
PDAS	SilaPeerDAS	medium
Edgestar	H-Star	medium
Hester	H-Star	medium
Hepota	Hegota	high
Hakota	Hegota	high
Yakuta	Hegota	high
Jekutan	Hegota	high
Echotab	H-Star	medium
Regotta	Hegota	medium
ISTARC	I-Star	medium
Hepa	Hegota	medium
DCIP	this SIP	low
ZCIP	this SIP	low
ZCC	ACDC	medium
StronMap	strawmap	high
straw map	strawmap	high
EFAScan	SilaScan	low
Tapper	Tapered	medium
photos	potuz	high
Potos	potuz	high
Death Star	Lodestar	medium
Toni	Teku	low
EF Labs	EF	low
Barnaby	Barnabé	low
Honeyboo	hanniabu	medium
Tomar	soispoke	low
Caba	Csaba	low
Silver-01	0x01	medium
0601	0x01	high
0602	0x02	high
0600	0x00	high
0x00ilers	0x00 validators	medium
Validor	validator	medium
