original	corrected	confidence
NetherMind	Nethermind	high
Netherland	Nethermind	high
Nevermind	Nethermind	high
ACT	ACDT	high
SilaAmsterdam	Glamsterdam	high
Fisaka	Fusaka	high
Trusaka	Fusaka	high
Nimbus ER	Nimbus EL	high
Fossil	FOCIL	high
BALS	BALS	low
DEFNET2	DevNet2	high
EPVS	ePBS	high
Prism	Prysm	high
Deku	Teku	high
Gloss	FOCIL	high
EPBS7	ePBS	high
TPBS	ePBS	high
Bell.net	DevNet	high
Definite	DevNet	high
DefNet	DevNet	high
ETH17	ETH70	high
E70	ETH70	high
BISO	Besu	high
GAT	Geth	high
AP3	SIP	high
SIL transfers	SIL transfers	low
EAST	EEST	medium
EAST team	EEST team	medium
Wrath	Reth	high
