original	corrected	confidence
AllCoreDev's	All Core Devs	high
Plataburget	Plata Burget	low
flu	SilaFulu	high
growth	Gloas	high
GLOS	Gloas	high
Gloss	Gloas	high
gloss	Gloas	high
gross	Gloas	high
Glamstramp	Glamsterdam	high
Glamstrom	Glamsterdam	high
glamstam	Glamsterdam	high
Hagoda	Hegota	high
Hagota	Hegota	high
Higato	Hegota	high
H-star	Hegota	medium
G-Star	Hegota	medium
Aragon	Erigon	high
Wrath	Reth	high
PRISM	Prysm	high
Joelchem	jochem	medium
Jainstart	Frontier	low
Forsaka	Fusaka	high
Fusaka	Fusaka	high
SilaAmsterdam	Glamsterdam	medium
Quantum	Glamsterdam	low
Bobcats	block gas	low
AT38	8038	high
AT70	8070	medium
PDC	PBS	low
fossil	FOCIL	high
SIL PandaOps	EthPandaOps	high
